연도,분류,합계,남,여
2008,발생건수,953482,646680,183391
2008,사망자수,5870,5299,516
2008,부상자수,1452921,1007646,280862
2009,발생건수,977535,661239,195838
2009,사망자수,5838,5245,547
2009,부상자수,1498344,1033522,302056
2010,발생건수,979307,669213,200775
2010,사망자수,5505,4921,543
2010,부상자수,1533609,1054293,314934
2011,발생건수,897271,636555,191358
2011,사망자수,5229,4695,502
2011,부상자수,1434786,1016900,304862
2012,발생건수,1133145,757143,298754
2012,사망자수,5392,4873,500
2012,부상자수,1777604,1172231,475360
2013,발생건수,1119280,732386,289296
2013,사망자수,5092,4544,528
2013,부상자수,1782594,1137816,463699
2014,발생건수,1129374,736765,300334
2014,사망자수,4762,4227,524
2014,부상자수,1792235,1138766,479458
2015,발생건수,1141925,747052,306764
2015,사망자수,4621,4074,540
2015,부상자수,1809461,1155422,487474
2016,발생건수,1156474,749317,317059
2016,사망자수,4292,3788,503
2016,부상자수,1846937,1162888,507850
2017,발생건수,1143175,753360,314503
2017,사망자수,4185,3675,510
2017,부상자수,1803325,1162214,492557
