연도,분류,합계,중앙선침범,신호위반,안전거리미확보,불법유턴,과속,안전운전불이행,교차로운행방법위반,보행자보호의무위반,차로위반,직진우회전진행방해,기타,미분류
2008,발생건수,953482,27347,54783,28697,1821,457,136049,16856,14763,3766,4030,350352,314561
2008,사망자수,5870,654,444,92,27,134,4078,136,163,22,33,87,0
2008,부상자수,1452921,45996,86744,54075,2471,761,201199,28287,16587,6329,7059,502455,500958
2009,발생건수,977535,28398,55670,30670,1790,462,143283,18303,15714,4020,5134,330913,343178
2009,사망자수,5838,548,427,128,21,163,4098,124,166,21,59,83,0
2009,부상자수,1498344,47624,88116,57983,2519,690,209687,30472,17766,6735,8869,476536,551347
2010,발생건수,979307,28779,53457,29832,1557,441,143025,17403,16548,4208,5663,312321,366073
2010,사망자수,5505,563,409,98,30,138,3829,109,184,17,56,70,2
2010,부상자수,1533609,48184,84961,55904,2237,688,210240,29154,19191,6979,9775,476926,589370
2011,발생건수,897271,25654,47983,29112,1521,440,142452,16280,16630,4059,6178,257365,349597
2011,사망자수,5229,464,384,82,24,121,3709,117,172,30,43,82,1
2011,부상자수,1434786,43224,76711,55001,2135,701,207194,27123,19360,6669,10878,425271,560519
2012,발생건수,1133145,26206,48536,89176,1653,405,319251,19476,16311,4192,5959,224414,377566
2012,사망자수,5392,445,389,97,24,107,3872,111,174,25,55,92,1
2012,부상자수,1777604,44472,77894,159413,2337,745,486712,33017,19263,6966,10436,362179,574170
2013,발생건수,1119280,25240,46964,85384,1727,467,325151,19435,16434,4102,5849,240779,347748
2013,사망자수,5092,423,354,81,24,144,3673,97,169,23,42,60,2
2013,부상자수,1782594,42545,76422,155031,2488,829,514972,33214,19382,6843,10224,389858,530786
2014,발생건수,1129374,22263,44092,90784,1710,561,325495,19601,17019,4398,6306,334688,262457
2014,사망자수,4762,385,356,76,22,180,3372,82,165,16,39,67,2
2014,부상자수,1792235,37320,71784,165777,2366,918,513018,33587,19853,7163,10923,535098,394428
2015,발생건수,1141925,21161,43325,107889,2414,647,283829,21006,17388,4879,7324,371045,261018
2015,사망자수,4621,412,382,86,30,166,3165,62,171,19,55,68,5
2015,부상자수,1809461,35118,70272,197553,3441,1163,436219,35831,20300,7935,12661,597992,390976
2016,발생건수,1156474,19138,39825,126027,2368,714,279653,20676,14823,4957,7134,390241,250918
2016,사망자수,4292,338,352,73,28,194,2953,70,178,12,38,54,2
2016,부상자수,1846937,31851,64566,227746,3440,1211,435533,35749,15482,8157,12051,633588,377563
2017,발생건수,1143175,18288,39715,26304,1483,871,395211,15294,10391,5040,6930,367135,256513
2017,사망자수,4185,338,317,76,23,206,2891,66,158,10,41,58,1
2017,부상자수,1803325,29883,63670,47575,2048,1650,624479,24875,10898,8077,11623,588903,389644
,,,,,,,,,,,,,,
